coord,wins, winprob
"(2,0)",25443,28.51%
"(3,0)",60437,67.72%
"(4,0)",59740,66.94%
"(5,0)",60484,67.77%
"(2,1)",55508,62.20%
"(3,1)",67314,75.43%
"(4,1)",59971,67.20%
"(5,1)",59190,66.32%
"(0,2)",25443,28.51%
"(1,2)",55508,62.20%
"(3,2)",67297,75.41%
"(4,2)",59235,66.37%
"(5,2)",59257,66.40%
"(0,3)",60437,67.72%
"(1,3)",67314,75.43%
"(2,3)",67297,75.41%
"(3,3)",66433,74.44%
"(4,3)",59834,67.05%
"(5,3)",58951,66.06%
"(0,4)",59740,66.94%
"(1,4)",59971,67.20%
"(2,4)",59235,66.37%
"(3,4)",59834,67.05%
"(4,4)",58616,65.68%
"(5,4)",58372,65.41%
"(0,5)",60484,67.77%
"(1,5)",59190,66.32%
"(2,5)",59257,66.40%
"(3,5)",58951,66.06%
"(4,5)",58372,65.41%
"(5,5)",60520,67.81%
