coord,wins, winprob
"(0,0)",1556,19.43%
"(1,0)",1584,19.78%
"(2,0)",1584,19.78%
"(3,0)",1556,19.43%
"(0,1)",1584,19.78%
"(1,1)",1574,19.66%
"(2,1)",1574,19.66%
"(3,1)",1584,19.78%
"(0,2)",1584,19.78%
"(1,2)",1574,19.66%
"(2,2)",1574,19.66%
"(3,2)",1584,19.78%
"(0,3)",1556,19.43%
"(1,3)",1584,19.78%
"(2,3)",1584,19.78%
"(3,3)",1556,19.43%
