coord,wins, winprob
"(2,0)",42162,60.50%
"(3,0)",45425,65.19%
"(4,0)",44807,64.30%
"(5,0)",46625,66.91%
"(2,1)",15148,21.74%
"(3,1)",36782,52.78%
"(4,1)",44300,63.57%
"(5,1)",45103,64.72%
"(0,2)",42162,60.50%
"(1,2)",15148,21.74%
"(3,2)",37494,53.80%
"(4,2)",45164,64.81%
"(5,2)",45460,65.24%
"(0,3)",45425,65.19%
"(1,3)",36782,52.78%
"(2,3)",37494,53.80%
"(3,3)",36062,51.75%
"(4,3)",44895,64.43%
"(5,3)",45752,65.66%
"(0,4)",44807,64.30%
"(1,4)",44300,63.57%
"(2,4)",45164,64.81%
"(3,4)",44895,64.43%
"(4,4)",45319,65.03%
"(5,4)",45255,64.94%
"(0,5)",46625,66.91%
"(1,5)",45103,64.72%
"(2,5)",45460,65.24%
"(3,5)",45752,65.66%
"(4,5)",45255,64.94%
"(5,5)",47103,67.59%
