coord,wins, winprob
"(0,0)",1433,32.81%
"(1,0)",1461,33.45%
"(2,0)",1461,33.45%
"(3,0)",1433,32.81%
"(0,1)",1461,33.45%
"(1,1)",1440,32.97%
"(2,1)",1440,32.97%
"(3,1)",1461,33.45%
"(0,2)",1461,33.45%
"(1,2)",1440,32.97%
"(2,2)",1440,32.97%
"(3,2)",1461,33.45%
"(0,3)",1433,32.81%
"(1,3)",1461,33.45%
"(2,3)",1461,33.45%
"(3,3)",1433,32.81%
