coord,wins, winprob
"(0,0)",400,71.43%
"(1,0)",387,69.11%
"(2,0)",387,69.11%
"(3,0)",400,71.43%
"(0,1)",387,69.11%
"(1,1)",386,68.93%
"(2,1)",386,68.93%
"(3,1)",387,69.11%
"(0,2)",387,69.11%
"(1,2)",386,68.93%
"(2,2)",386,68.93%
"(3,2)",387,69.11%
"(0,3)",400,71.43%
"(1,3)",387,69.11%
"(2,3)",387,69.11%
"(3,3)",400,71.43%
