coord,wins, winprob
"(0,0)",949,52.14%
"(1,0)",961,52.80%
"(2,0)",961,52.80%
"(3,0)",949,52.14%
"(0,1)",961,52.80%
"(1,1)",914,50.22%
"(2,1)",914,50.22%
"(3,1)",961,52.80%
"(0,2)",961,52.80%
"(1,2)",914,50.22%
"(2,2)",914,50.22%
"(3,2)",961,52.80%
"(0,3)",949,52.14%
"(1,3)",961,52.80%
"(2,3)",961,52.80%
"(3,3)",949,52.14%
