coord,wins, winprob
"(0,0)",27271,51.33%
"(1,0)",26832,50.50%
"(2,0)",25927,48.80%
"(3,0)",26832,50.50%
"(4,0)",27271,51.33%
"(0,1)",26832,50.50%
"(1,1)",26838,50.51%
"(2,1)",25516,48.03%
"(3,1)",26838,50.51%
"(4,1)",26832,50.50%
"(0,2)",25927,48.80%
"(1,2)",25516,48.03%
"(2,2)",24541,46.19%
"(3,2)",25516,48.03%
"(4,2)",25927,48.80%
"(0,3)",26832,50.50%
"(1,3)",26838,50.51%
"(2,3)",25516,48.03%
"(3,3)",26838,50.51%
"(4,3)",26832,50.50%
"(0,4)",27271,51.33%
"(1,4)",26832,50.50%
"(2,4)",25927,48.80%
"(3,4)",26832,50.50%
"(4,4)",27271,51.33%
