coord,wins, winprob
"(2,0)",68968,24.55%
"(3,0)",161684,57.56%
"(4,0)",160935,57.29%
"(5,0)",161769,57.59%
"(2,1)",164318,58.50%
"(3,1)",185933,66.19%
"(4,1)",158692,56.49%
"(5,1)",157895,56.21%
"(0,2)",68968,24.55%
"(1,2)",164318,58.50%
"(3,2)",186647,66.45%
"(4,2)",158377,56.38%
"(5,2)",159203,56.68%
"(0,3)",161684,57.56%
"(1,3)",185933,66.19%
"(2,3)",186647,66.45%
"(3,3)",182772,65.07%
"(4,3)",160237,57.04%
"(5,3)",156957,55.88%
"(0,4)",160935,57.29%
"(1,4)",158692,56.49%
"(2,4)",158377,56.38%
"(3,4)",160237,57.04%
"(4,4)",154850,55.13%
"(5,4)",156018,55.54%
"(0,5)",161769,57.59%
"(1,5)",157895,56.21%
"(2,5)",159203,56.68%
"(3,5)",156957,55.88%
"(4,5)",156018,55.54%
"(5,5)",162086,57.70%
