coord,wins, winprob
"(0,0)",33,39.29%
"(1,0)",33,39.29%
"(2,0)",33,39.29%
"(0,1)",33,39.29%
"(1,1)",20,23.81%
"(2,1)",33,39.29%
"(0,2)",33,39.29%
"(1,2)",33,39.29%
"(2,2)",33,39.29%
