coord,wins, winprob
"(0,0)",26,20.63%
"(1,0)",27,21.43%
"(2,0)",26,20.63%
"(0,1)",27,21.43%
"(1,1)",13,10.32%
"(2,1)",27,21.43%
"(0,2)",26,20.63%
"(1,2)",27,21.43%
"(2,2)",26,20.63%
