coord,wins, winprob
"(0,0)",23,63.89%
"(1,0)",24,66.67%
"(2,0)",23,63.89%
"(0,1)",24,66.67%
"(1,1)",17,47.22%
"(2,1)",24,66.67%
"(0,2)",23,63.89%
"(1,2)",24,66.67%
"(2,2)",23,63.89%
