coord,wins, winprob
"(2,0)",153548,37.35%
"(3,0)",205974,50.10%
"(4,0)",202502,49.26%
"(5,0)",206844,50.31%
"(2,1)",148395,36.10%
"(3,1)",205138,49.90%
"(4,1)",194637,47.35%
"(5,1)",203186,49.42%
"(0,2)",153548,37.35%
"(1,2)",148395,36.10%
"(3,2)",203209,49.43%
"(4,2)",202484,49.25%
"(5,2)",199754,48.59%
"(0,3)",205974,50.10%
"(1,3)",205138,49.90%
"(2,3)",203209,49.43%
"(3,3)",195183,47.48%
"(4,3)",202146,49.17%
"(5,3)",203188,49.43%
"(0,4)",202502,49.26%
"(1,4)",194637,47.35%
"(2,4)",202484,49.25%
"(3,4)",202146,49.17%
"(4,4)",198729,48.34%
"(5,4)",205837,50.07%
"(0,5)",206844,50.31%
"(1,5)",203186,49.42%
"(2,5)",199754,48.59%
"(3,5)",203188,49.43%
"(4,5)",205837,50.07%
"(5,5)",207982,50.59%

